_id,date_created,thumbnails,image_path,caption,comments,design,isApproved,likes,order,performance,post_id,product_id,rating,review,reviewType,software,tags,userid,valueformoney,__v
5f33beb63e4641464db6912e,2020-11-09T19:07:23.000Z,[],"[""https://cdn.revmeup.in/userphotos/h9Rgve39XZOuEgGs2aeHBYIFdfO2/photo1.jpeg""]","ROAM to your hearts content.

",[],5,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db6912f""},""user_id"":""h9Rgve39XZOuEgGs2aeHBYIFdfO2""}]",0,5,-LzRuxwaRX9Uv6GRpwsx,QQGGRFINRXGKLEDRKO,5,"Really an amazing portable device for music lovers.
The best thing is that the product has 
a very good battery life.
It's waterproof and has a very crystal clear
sound.
A must buy product by mivi.
",false,0,"ROAM to your hearts content.

",h9Rgve39XZOuEgGs2aeHBYIFdfO2,5,0
5f33beb63e4641464db69130,2020-01-25T19:10:03.000Z,[],"[""https://cdn.revmeup.in/userconvertedphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo2.jpeg"",""https://cdn.revmeup.in/userconvertedphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo1.jpeg"",""https://cdn.revmeup.in/userconvertedphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo3.jpeg""]",Apple iPhone XR - REVIEW,[],5,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db69131""},""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""}]",0,5,-LzRv_6fG-DftU86gAQK,PKXVBSZAXRMRHAFOGL,4,"There are lots of reviews on net for XR, I would give just quick points based on my experience of XR 128 GB.

Pros:
1). Perfect size for a phone for playing game, consuming social media and entertainment.

2). Probably best battery ever in iPhone. I use to charge it once in 2 days despite all day calls, music and YouTube usage. Though I don’t play much game on it.

3). Superb loudSpeaker and call reception. Very clear sound quality.

4). Fantastic build quality with Glass back providing wireless charging

5). Super camera at back and it does the job more than satisfactory. 12 MP processor has been utilised at utmost level. Don’t go by merely MP numbers, apple image processor is superb even at 12 MP. Front camera gives very nice portrait shots. It just does the job without much of beautification processing like in other android devices.

Cons:
1). No headphone connector for 3.5 mm jack though it comes with lightning headphone instead of 3.5 mm jack. It’s not cool as considering the price apple should have given the connector. Original connector cost 900 INR

2). No fast charging adapter. It comes with 5wt charger which takes almost 3 hours for complete charging. Though it support fast charging. Apple should have given a fast charger in packing.

3). Though I am ok with notch, many people might not like the cut. However Once you get use to it, this becomes unnoticeable.

Verdict:
With current Apple discount, XR 128 GB is a perfect buy. If you have the budget, don’t think twice just go for it. Considering the price gap between XR and XSMax I would say XR is a better buy in every aspect with same Camera, Hardware and build quality. It has an advantage of future iOS update over its android competitors.

Above all this, XR is IP67 certified which means now you need not to worry about splashes and dust. It’s safer, stronger and better iPhone in every sense.",false,5,Apple iPhone XR - REVIEW,WYc8FWvDoMhO1NmMuC8EyuK1b6L2,4,0
5f33beb63e4641464db69132,2020-01-25T19:12:38.000Z,[],"[""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo5.jpeg"",""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo4.jpeg"",""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo6.jpeg""]",one plus 7T review,[],4,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db69133""},""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""}]",0,3,-LzRw9ylb9YIKJuutXTs,OMXHQSAPFYLAKUXOOE,3,"Being one of the first people getting their hands on the New Oneplus 7T pro sounds amazing.... But after using for a day this is what I found. ..

Cons :

1) Heats up quickly
2) If on a video call ( whatsapp) unable to use whatsapp properly getting hung it screen frozen
3) Battery drains out a bit fast. In 15 hours battery came from 100% to 35 % off which I slept for 8 hours with Wi-Fi and internet on.
4) The set is very slippery, you will need a case.
5) I assume there is a bug which keeps going to the main menu when I'm trying to surf any app.

Pros :

1) Amazing Camera
2) Very fast battery charging.
3) The case that comes with the package is very rubbery and not hard but it has a very good grip.
4) Handset already comes with a screen guard.
5) The screen display is one of the best.
6) Very fast processor. And able to open simultaneous apps without compromising speed and performance.

I hope this has helped ppl.. I will get some more reviews once I use this set more. Cheers. As a whole buy this for the experience. Or you can just wait for the Mclaren edition of you like a darker and more Ram speed. Else I would say go for it. The bugs will be definitely removed woth the next update. I hoping.. For the to me being I would give it a

3.5/5",false,5,one plus 7T review,WYc8FWvDoMhO1NmMuC8EyuK1b6L2,3,0
5f33beb63e4641464db69134,2020-01-25T19:14:46.000Z,[],"[""https://cdn.revmeup.in/userphotos/h9Rgve39XZOuEgGs2aeHBYIFdfO2/photo2.jpeg""]",An amazing device for you.,[],0,false,[],0,0,-LzRweJlJi1GRtOxIkFn,HYXJLVUXTPYDNVWLKQ,4,false,false,0,An amazing device for you.,h9Rgve39XZOuEgGs2aeHBYIFdfO2,0,0
5f33beb63e4641464db69135,2020-01-28T18:58:05.000Z,[],"[""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo22.jpeg"",""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo23.jpeg""]",Best camera ever!,[],4,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db69136""},""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""},{""_id"":{""$oid"":""5f33beb63e4641464db69137""},""user_id"":""1KRqgTPGQgQq2DbqEuvVLKxXe403""}]",0,4,-LzgKb1YIqE9Rme9a8hP,YGYPTKILDGIKUKKHUN,5,false,false,5,Best camera ever!,WYc8FWvDoMhO1NmMuC8EyuK1b6L2,4,0
5f33beb63e4641464db69138,2020-01-25T19:19:41.000Z,[],"[""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo10.jpeg"",""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo9.jpeg""]",Try these fantastic earphones!,[],5,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db69139""},""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""},{""_id"":{""$oid"":""5f33beb63e4641464db6913a""},""user_id"":""eV4OFULtviNcLzZ50jcYbPHsPls2""}]",0,5,-LzRxmJWsIbZBiSQJGSU,VXHAYDVDTIPQKIHBHZ,5,"Great Earphone at this price range, Strong and steady build quality, Tangle free flat wire, Good sound quality, Noice cancellation is also working fine but Bass is not as great as highlighted and mentioned on the box ' Super Extraaaaaaaa Bass",false,5,Try these fantastic earphones!,WYc8FWvDoMhO1NmMuC8EyuK1b6L2,5,0
5f33beb63e4641464db6913b,2020-01-25T19:17:29.000Z,[],"[""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo8.jpeg"",""https://cdn.revmeup.in/userphotos/WYc8FWvDoMhO1NmMuC8EyuK1b6L2/photo7.jpeg""]",boat ROCKERZ 510,"[{""_id"":{""$oid"":""5f33beb63e4641464db6913c""},""comment"":""eerty"",""comment_id"":""-M73l4P0uOm_ZeIB151l"",""date_created"":""Wed Aug 12 2020 10:04:38 GMT+0000 (Coordinated Universal Time)"",""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""}]",5,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db6913d""},""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""}]",0,5,-LzRxH3zzoXc-KvPFy_O,QBURCSSMQMRJPTDXQH,5,false,false,5,boat ROCKERZ 510,WYc8FWvDoMhO1NmMuC8EyuK1b6L2,5,0
5f33beb63e4641464db69141,2020-01-28T16:22:56.000Z,[],"[""https://cdn.revmeup.in/userphotos/h9Rgve39XZOuEgGs2aeHBYIFdfO2/photo3.jpeg""]","Best wireless design.
The best thing about the product is that it allows you to be in both worlds, i.e while listening to your music and calls you can also pay attention to your surrounding activities .
Another promising thing is its battery life.",[],5,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db69142""},""user_id"":""vQUniaOCktTJgQ2oJ9bgIW0RACZ2""},{""_id"":{""$oid"":""5f33beb63e4641464db69143""},""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""}]",0,5,-Lzfm5MRkxP_oCjr_DPU,OMEIEVKMFHTRLZWHXQ,4,"The best thing about the product is that it allows you to be in both worlds, i.e while listening to your music you can also pay attention to your surrounding.
Another promising thing is it's battery life.",false,0,"Best wireless design.
The best thing about the product is that it allows you to be in both worlds, i.e while listening to your music and calls you can also pay attention to your surrounding activities .
Another promising thing is its battery life.",h9Rgve39XZOuEgGs2aeHBYIFdfO2,5,0
5f33beb63e4641464db69144,2020-01-28T16:28:11.000Z,[],"[""https://cdn.revmeup.in/userphotos/h9Rgve39XZOuEgGs2aeHBYIFdfO2/photo4.jpeg""]",Best hearing experience for you.,[],5,false,[],0,5,-LzfnIGnfxuqGXXDVo6u,BZTBBEQVYDQUEJOLMH,5,"Best product for your workout sessions music experience, as its sweat-resistant with high-quality audio",false,0,Best hearing experience for you.,h9Rgve39XZOuEgGs2aeHBYIFdfO2,4,0
5f33beb63e4641464db69145,2020-01-28T16:33:26.000Z,[],"[""https://cdn.revmeup.in/userphotos/h9Rgve39XZOuEgGs2aeHBYIFdfO2/photo5.jpeg""]",Best box for best sound!,[],5,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db69146""},""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""}]",0,4,-LzfoVDZTeGYW2zRkLQC,EZFTULBLKGTVCZHTFJ,4,"Best for your outdoors and indoor parties.
It's bigger and stronger than any other speaker of this range.",false,0,Best box for best sound!,h9Rgve39XZOuEgGs2aeHBYIFdfO2,4,0
5f33beb63e4641464db69147,2020-01-28T17:02:13.000Z,[],"[""https://cdn.revmeup.in/userphotos/h9Rgve39XZOuEgGs2aeHBYIFdfO2/photo8.jpeg""]",Best buy at such a low price.,[],4,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db69148""},""user_id"":""Re2cQ0UyhXR6ckFCluby85Bq4r52""}]",0,5,-Lzfv4sLb8z7DTFeA5pf,KXMAKJPZGLYSKHEQLY,4,false,false,0,Best buy at such a low price.,h9Rgve39XZOuEgGs2aeHBYIFdfO2,4,0
5f33beb63e4641464db69149,2020-01-28T16:54:57.000Z,[],"[""https://cdn.revmeup.in/userphotos/h9Rgve39XZOuEgGs2aeHBYIFdfO2/photo6.jpeg"",""https://cdn.revmeup.in/userphotos/h9Rgve39XZOuEgGs2aeHBYIFdfO2/photo7.jpeg""]",Amazing design and powerful sound,[],5,false,"[{""_id"":{""$oid"":""5f33beb63e4641464db6914a""},""user_id"":""Re2cQ0UyhXR6ckFCluby85Bq4r52""},{""_id"":{""$oid"":""5f33beb63e4641464db6914b""},""user_id"":""d49QrLhFunX3OkT6qmDOGuix9sY2""}]",0,4,-LzftQCchWkc5ATTcYVh,MJGKXGDGRYQMZLNRXZ,4,false,false,0,Amazing design and powerful sound,h9Rgve39XZOuEgGs2aeHBYIFdfO2,4,0
